SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
542066,ADANIGAS    ,A ,Q,154.45,155.50,151.25,152.00,152.00,153.20,1549,106900,16378790.00,
542123,PHOSPHATE   ,XT,Q,64.00,64.00,61.00,61.00,61.00,64.00,3,54,3414.00,
542156,IPRU3218    ,B ,Q,10.10,10.10,10.10,10.10,10.10,10.25,6,51175,516867.00,
542206,BTSYN       ,X ,Q,10.50,10.50,10.35,10.35,10.35,10.45,7,10265,106272.00,
542216,DALBHARAT   ,B ,Q,829.00,830.00,812.00,826.80,826.80,829.05,219,3486,2865776.00,
542231,NILASPACES  ,B ,Q,1.07,1.07,1.07,1.07,1.07,1.15,1,1000,1070.00,
542233,TREJHARA    ,B ,Q,13.00,13.50,13.00,13.00,13.00,13.02,192,831,10874.00,
542248,DECCAN      ,M ,Q,73.40,84.00,70.00,77.90,77.90,77.00,10,12000,909960.00,
542285,AXITA       ,M ,Q,87.80,88.00,87.80,88.00,88.00,88.90,3,6000,527400.00,
542333,CESCVENTURE ,B ,Q,280.50,283.85,275.80,279.50,279.50,286.50,252,988,275995.00,
542337,SPENCER     ,B ,Q,61.40,62.25,60.10,60.40,60.90,61.95,98,107255,6459392.00,
542351,GLOSTERLTD  ,X ,Q,596.50,615.00,580.60,593.15,595.00,601.05,27,373,223657.00,
542367,XELPMOC     ,B ,Q,62.20,67.90,60.00,64.60,62.85,66.00,1705,2201,138320.00,
542383,RITCO       ,M ,Q,55.55,59.00,55.55,57.50,56.00,59.85,4,6400,361760.00,
542399,CHALET      ,B ,Q,325.00,327.65,321.00,324.65,322.80,327.50,929,2157,703722.00,
542460,ANUP        ,B ,Q,424.65,433.45,424.00,425.95,424.00,427.05,114,4490,1915600.00,
542484,ARVINDFASN  ,B ,Q,341.00,341.00,320.75,329.25,336.60,330.25,1094,2350,771686.00,
542503,MAHIP       ,M ,Q,13.35,13.52,13.35,13.52,13.52,12.88,2,8000,107480.00,
